# theme: Fantasy,,
# game_version: Black Plague,,
# is_base_game: true,,
# abominations: standard_abomination,,
# necromancers: standard_necromancer,,
# ---,,
danger,spawn,qty
blue,nothing,
blue,nothing,
blue,nothing,
blue,walker,1
blue,walker,1
blue,walker,1
blue,walker,2
blue,walker,3
blue,brute,1
blue,brute,1
blue,runner,1
blue,runner,1
blue,walker,2
blue,walker,2
blue,walker,1
blue,walker,1
blue,runner,1
blue,walker,1
blue,brute,1
blue,walker,1
blue,brute,1
blue,runner,1
blue,brute,1
blue,walker,2
blue,walker,2
blue,walker,1
blue,walker,1
blue,runner,1
blue,walker,1
blue,brute,1
blue,walker,1
blue,brute,1
blue,runner,1
blue,brute,1
blue,nothing,
blue,nothing,
blue,nothing,
blue,nothing,
blue,double_spawn,
blue,double_spawn,
blue,double_spawn,
blue,double_spawn,
blue,double_spawn,
blue,double_spawn,
blue,double_spawn,
blue,double_spawn,
yellow,runner,2
yellow,brute,2
yellow,walker,4
yellow,runner,1
yellow,brute,1
yellow,walker,2
yellow,runner,1
yellow,brute,1
yellow,walker,2
yellow,walker,2
yellow,walker,3
yellow,walker,3
yellow,runner,1
yellow,brute,1
yellow,walker,3
yellow,runner,2
yellow,brute,1
yellow,walker,4
yellow,runner,1
yellow,brute,2
yellow,walker,2
yellow,walker,4
yellow,walker,3
yellow,runner,1
yellow,brute,1
yellow,walker,3
yellow,runner,2
yellow,brute,1
yellow,walker,4
yellow,runner,1
yellow,brute,2
yellow,walker,2
yellow,walker,4
yellow,walker,3
yellow,extra_walker,
yellow,extra_walker,
yellow,extra_brute,
yellow,extra_runner,
yellow,double_spawn,
yellow,double_spawn,
yellow,double_spawn,
yellow,double_spawn,
yellow,double_spawn,
yellow,double_spawn,
yellow,double_spawn,
yellow,double_spawn,
orange,walker,5
orange,walker,5
orange,runner,3
orange,brute,3
orange,walker,4
orange,runner,1
orange,brute,1
orange,walker,4
orange,runner,2
orange,brute,2
orange,walker,3
orange,walker,3
orange,walker,5
orange,brute,1
orange,runner,2
orange,brute,3
orange,walker,4
orange,runner,2
orange,walker,6
orange,runner,2
orange,brute,2
orange,walker,4
orange,walker,5
orange,walker,5
orange,brute,1
orange,runner,2
orange,brute,3
orange,walker,4
orange,runner,2
orange,walker,6
orange,runner,2
orange,brute,2
orange,walker,4
orange,walker,5
orange,extra_walker,
orange,extra_walker,
orange,extra_brute,
orange,extra_runner,
orange,double_spawn,
orange,double_spawn,
orange,double_spawn,
orange,double_spawn,
orange,double_spawn,
orange,double_spawn,
orange,double_spawn,
orange,double_spawn,
red,brute,2
red,walker,5
red,runner,2
red,brute,3
red,walker,5
red,runner,3
red,brute,3
red,walker,6
red,runner,3
red,walker,5
red,walker,6
red,walker,5
red,brute,2
red,runner,3
red,walker,6
red,walker,6
red,walker,5
red,brute,3
red,runner,2
red,walker,8
red,walker,7
red,brute,3
red,runner,3
red,brute,2
red,runner,3
red,walker,6
red,walker,6
red,walker,5
red,brute,3
red,runner,2
red,walker,8
red,walker,7
red,brute,3
red,runner,3
red,extra_walker,
red,extra_walker,
red,extra_brute,
red,extra_runner,
red,double_spawn,
red,double_spawn,
red,double_spawn,
red,double_spawn,
red,double_spawn,
red,double_spawn,
red,double_spawn,
red,double_spawn,
