# theme: Classic
# game_version: Season 1
# is_base_game: true
# abominations: Standard Abomination
# necromancers: 
# ---
danger,spawn,qty
blue,nothing,
blue,walker_standard,1
blue,walker_standard,1
blue,walker_standard,2
blue,nothing,
blue,walker_standard,1
blue,walker_standard,1
blue,walker_standard,2
blue,nothing,
blue,walker_standard,1
blue,walker_standard,1
blue,fatty_standard,1
blue,nothing,
blue,walker_standard,1
blue,walker_standard,1
blue,walker_standard,2
blue,nothing,
blue,walker_standard,1
blue,walker_standard,1
blue,walker_standard,2
blue,walker_standard,1
blue,walker_standard,1
blue,fatty_standard,1
blue,walker_standard,1
blue,walker_standard,1
blue,walker_standard,2
blue,walker_standard,2
blue,walker_standard,1
blue,walker_standard,1
blue,runner_standard,1
blue,fatty_standard,1
blue,walker_standard,1
blue,walker_standard,1
blue,runner_standard,1
blue,nothing,
blue,extra_walker,
blue,nothing,
blue,nothing,
blue,sewer_walker,1
blue,sewer_walker,1
yellow,runner_standard,2
yellow,walker_standard,1
yellow,runner_standard,1
yellow,walker_standard,3
yellow,walker_standard,4
yellow,walker_standard,1
yellow,walker_standard,2
yellow,walker_standard,3
yellow,walker_standard,4
yellow,walker_standard,1
yellow,runner_standard,1
yellow,walker_standard,3
yellow,runner_standard,2
yellow,walker_standard,1
yellow,runner_standard,1
yellow,walker_standard,3
yellow,walker_standard,4
yellow,walker_standard,1
yellow,walker_standard,2
yellow,walker_standard,3
yellow,walker_standard,4
yellow,walker_standard,1
yellow,runner_standard,1
yellow,walker_standard,3
yellow,runner_standard,2
yellow,walker_standard,2
yellow,walker_standard,2
yellow,walker_standard,4
yellow,walker_standard,2
yellow,runner_standard,1
yellow,walker_standard,3
yellow,runner_standard,2
yellow,walker_standard,2
yellow,fatty_standard,1
yellow,walker_standard,3
yellow,extra_walker,
yellow,extra_walker,
yellow,extra_fatty,
yellow,extra_runner,
yellow,sewer_walker,2
yellow,sewer_runner,1
orange,runner_standard,2
orange,walker_standard,6
orange,fatty_standard,1
orange,walker_standard,4
orange,fatty_standard,2
orange,runner_standard,3
orange,walker_standard,2
orange,walker_standard,4
orange,runner_standard,2
orange,runner_standard,3
orange,runner_standard,1
orange,walker_standard,4
orange,runner_standard,2
orange,walker_standard,6
orange,fatty_standard,1
orange,walker_standard,4
orange,fatty_standard,2
orange,runner_standard,3
orange,walker_standard,2
orange,walker_standard,4
orange,runner_standard,2
orange,runner_standard,3
orange,runner_standard,1
orange,walker_standard,4
orange,walker_standard,5
orange,walker_standard,3
orange,runner_standard,3
orange,runner_standard,2
orange,walker_standard,6
orange,fatty_standard,3
orange,walker_standard,2
orange,runner_standard,5
orange,walker_standard,3
orange,runner_standard,3
orange,extra_walker,2
orange,extra_walker,
orange,extra_fatty,
orange,extra_runner,
orange,sewer_fatty,1
orange,sewer_walkers,2
red,walker_standard,5
red,walker_standard,7
red,runner_standard,4
red,runner_standard,2
red,walker_standard,5
red,walker_standard,7
red,runner_standard,4
red,fatty_standard,2
red,walker_standard,5
red,walker_standard,7
red,fatty_standard,4
red,runner_standard,2
red,walker_standard,5
red,walker_standard,7
red,runner_standard,4
red,runner_standard,2
red,walker_standard,5
red,walker_standard,7
red,runner_standard,4
red,fatty_standard,2
red,walker_standard,5
red,walker_standard,7
red,fatty_standard,4
red,runner_standard,2
red,fatty_standard,3
red,walker_standard,7
red,fatty_standard,4
red,walker_standard,5
red,walker_standard,6
red,walker_standard,8
red,walker_standard,5
red,runner_standard,3
red,walker_standard,7
red,runner_standard,4
red,walker_standard,5
red,extra_walker,
red,extra_walker,
red,extra_fatty,
red,extra_runner,
red,sewer_runner,1
red,sewer_fatty,1
