# theme: Classic
# game_version: Season 2 - Prison Outbreak
# is_base_game: true
# abominations: Berserk Abomination, Standard Abomination
# necromancers: 
# ---
danger,spawn,qty
blue,waker_berserker,1
blue,waker_berserker,1
blue,waker_berserker,2
blue,waker_berserker,2
blue,waker_berserker,1
blue,waker_berserker,1
blue,fatty_berserker,1
blue,runner_berserker,1
blue,waker_berserker,1
blue,waker_berserker,1
blue,walker_standard,1
blue,fatty_standard,1
blue,nothing,0
blue,walker_standard,1
blue,walker_standard,1
blue,walker_standard,2
blue,nothing,0
blue,walker_standard,1
blue,walker_standard,1
blue,walker_standard,2
blue,nothing,0
blue,walker_standard,1
blue,walker_standard,1
blue,fatty_standard,1
blue,walker_standard,1
blue,walker_standard,1
blue,walker_standard,2
blue,walker_standard,2
blue,walker_standard,1
blue,walker_standard,1
blue,runner_standard,1
blue,fatty_standard,1
blue,walker_standard,1
blue,walker_standard,1
blue,runner_standard,1
blue,nothing,0
blue,extra_walker,0
blue,nothing,0
blue,nothing,0
blue,sewer_walker,1
blue,sewer_walker,1
yellow,runner_berserker,2
yellow,walker_standard,2
yellow,waker_berserker,2
yellow,waker_berserker,4
yellow,waker_berserker,2
yellow,runner_berserker,1
yellow,waker_berserker,3
yellow,fatty_berserker,3
yellow,waker_berserker,2
yellow,runner_standard,1
yellow,walker_standard,3
yellow,runner_standard,2
yellow,walker_standard,1
yellow,runner_standard,1
yellow,walker_standard,3
yellow,walker_standard,4
yellow,walker_standard,1
yellow,walker_standard,2
yellow,walker_standard,3
yellow,walker_standard,4
yellow,walker_standard,1
yellow,runner_standard,1
yellow,walker_standard,3
yellow,runner_standard,2
yellow,walker_standard,2
yellow,walker_standard,2
yellow,walker_standard,4
yellow,walker_standard,2
yellow,runner_standard,1
yellow,walker_standard,3
yellow,runner_standard,2
yellow,walker_standard,2
yellow,fatty_standard,1
yellow,walker_standard,3
yellow,extra_walker,0
yellow,extra_walker,0
yellow,extra_fatty,0
yellow,extra_runner,0
yellow,sewer_walker,2
yellow,sewer_runner,1
orange,waker_berserker,5
orange,runner_berserker,3
orange,waker_berserker,3
orange,runner_berserker,2
orange,waker_berserker,6
orange,waker_berserker,3
orange,fatty_berserker,2
orange,waker_berserker,5
orange,fatty_berserker,3
orange,runner_standard,1
orange,walker_standard,4
orange,runner_standard,2
orange,walker_standard,6
orange,fatty_standard,1
orange,walker_standard,4
orange,fatty_standard,2
orange,runner_standard,3
orange,walker_standard,2
orange,walker_standard,4
orange,runner_standard,2
orange,runner_standard,3
orange,runner_standard,1
orange,walker_standard,4
orange,walker_standard,5
orange,walker_standard,3
orange,runner_standard,3
orange,runner_standard,2
orange,walker_standard,6
orange,walker_standard,3
orange,fatty_standard,2
orange,walker_standard,5
orange,runner_standard,3
orange,walker_standard,3
orange,runner_standard,2
orange,extra_walker,0
orange,extra_walker,0
orange,extra_fatty,0
orange,extra_runner,0
orange,sewer_fatty,1
orange,sewer_walker,2
red,fatty_berserker,3
red,waker_berserker,7
red,fatty_berserker,4
red,waker_berserker,5
red,runner_berserker,3
red,waker_berserker,8
red,waker_berserker,5
red,runner_berserker,3
red,waker_berserker,7
red,Standard Fattiies,4
red,runner_standard,2
red,walker_standard,5
red,walker_standard,7
red,runner_standard,4
red,runner_standard,2
red,walker_standard,5
red,walker_standard,7
red,runner_standard,4
red,fatty_standard,2
red,walker_standard,5
red,walker_standard,7
red,fatty_standard,4
red,runner_standard,2
red,fatty_standard,3
red,walker_standard,7
red,fatty_standard,4
red,walker_standard,5
red,walker_standard,6
red,walker_standard,8
red,walker_standard,5
red,runner_standard,3
red,walker_standard,7
red,runner_standard,4
red,walker_standard,5
red,extra_walker,0
red,extra_walker,0
red,extra_fatty,0
red,extra_runner,0
red,sewer_runner,1
red,sewer_fatty,1
