# theme: fantasy,,
# game_version: climbers & terrorcotta_walkers,,
# is_base_game: false,,
# abominations:,,
# necromancers: ,,
# ---,,
danger,spawn,qty
blue,terrorcotta_walkers,5
blue,terrorcotta_walkers,5
blue,terrorcotta_walkers,5
blue,terrorcotta_walkers,5
blue,terrorcotta_walkers,5
blue,terrorcotta_walkers,5
blue,climbers,2
blue,climbers,2
blue,climbers,2
blue,climbers,2
blue,climbers,2
blue,climbers,2
blue,climbers,2
blue,climbers,2
blue,climbers,2
blue,climbers,2
blue,climbers,2
blue,climbers,2
yellow,terrorcotta_walkers,5
yellow,terrorcotta_walkers,5
yellow,terrorcotta_walkers,5
yellow,terrorcotta_walkers,5
yellow,terrorcotta_walkers,5
yellow,terrorcotta_walkers,5
yellow,climbers,4
yellow,climbers,4
yellow,climbers,4
yellow,climbers,4
yellow,climbers,4
yellow,climbers,4
yellow,climbers,4
yellow,climbers,4
yellow,climbers,4
yellow,climbers,4
yellow,climbers,4
yellow,climbers,4
orange,terrorcotta_walkers,5
orange,terrorcotta_walkers,5
orange,terrorcotta_walkers,5
orange,terrorcotta_walkers,5
orange,terrorcotta_walkers,5
orange,terrorcotta_walkers,5
orange,climbers,6
orange,climbers,6
orange,climbers,6
orange,climbers,6
orange,climbers,6
orange,climbers,6
orange,climbers,6
orange,climbers,6
orange,climbers,6
orange,climbers,6
orange,climbers,6
orange,climbers,6
red,terrorcotta_walkers,5
red,terrorcotta_walkers,5
red,terrorcotta_walkers,5
red,terrorcotta_walkers,5
red,terrorcotta_walkers,5
red,terrorcotta_walkers,5
red,climbers,8
red,climbers,8
red,climbers,8
red,climbers,8
red,climbers,8
red,climbers,8
red,climbers,8
red,climbers,8
red,climbers,8
red,climbers,8
red,climbers,8
red,climbers,8
