id,name_en,name_pt,class,set,actions,range,damage,move,lethal,ap,rules_en,rules_pt,image
walker,Walker,Lerdo,walker,Black Plague,1,0,1,1,1,1,Standard Walker.,Lerdo Comum.,https://static.wikia.nocookie.net/zombicide/images/c/ce/Walker_BP.png
runner,Runner,Corredor,runner,Black Plague,2,0,1,1,1,1,Standard Runner.,Corredor Comum.,https://static.wikia.nocookie.net/zombicide/images/7/7b/Runner_BP.png
brute,Brute,Bruto,brute,Black Plague,1,0,1,1,2,1,Standard Brute.,Bruto Comum.,https://static.wikia.nocookie.net/zombicide/images/8/85/Brute_BP.png
standard_necromancer,Standard Necromancer,Necromante Padrão,necromancer,Black Plague,1,0,1,1,1,1,Standard Necromancer Rules.,Regras básicas de Necromante.,https://static.wikia.nocookie.net/zombicide/images/e/e1/Necromancer_BP.png
standard_abomination,Standard Abomination,Abominação Padrão,abomination,Black Plague,1,0,1,1,3,5,Standard Abomination Rules.,Regras básicas de Abominação.,https://static.wikia.nocookie.net/zombicide/images/1/1d/Abomination_BP.png
zombie_wolfz,Zombie Wolfz,Loboz Zumbis,wolfz,Wulfsburg,3,0,1,1,1,1,3 Actions per Activation.,3 Ações por Ativação.,https://static.wikia.nocookie.net/zombicide/images/3/31/Zombie_Wulfz.png
wolfbomination,Wolfbomination,Lobomição,abomination,Wulfsburg,3,0,1,1,3,5,3 Actions per Activation.,3 Ações por Ativação.,https://static.wikia.nocookie.net/zombicide/images/b/b4/Wolfbomination.png
npc_walker,NPC Walker,Lerdo NPC,walker,NPC-1; NPC-2; Huntsman Pack,1,0,1,1,1,1,Stack NPCs killed by the survivor with the dashboard. Trade five different for an Vault Card.,Acumule NPCs abatidos pelo Sobrevivente ao lado do tabuleiro. Troque cinco diferentes por uma Carta de Cripta.,https://static.wikia.nocookie.net/zombicide/images/e/e2/BP_NPCs_02.png
abominotaur,Abominotaur,Abominatouro,abomination,Zombie Bosses Abomination Pack,1,0,2,1,3,5,Breaks walls and doors while mooving.,Quebra paredes e portas enquanto se move.,https://static.wikia.nocookie.net/zombicide/images/6/6b/Abominotaur_ZB.png
ablobination,Ablobination,Abolhominável,abomination,Zombie Bosses Abomination Pack,1,0-1,1,1,3,5,Hits everyone in the range.,Acerta todos em seu alcance.,https://static.wikia.nocookie.net/zombicide/images/9/92/Ablobination_ZB.png
abominatroll,Abominatroll,Abominatrol,abomination,Zombie Bosses Abomination Pack,1/3,0,1,1,0,5,Can only be killed by Dragon Fire. Have 3 Actions to spend whenever they activate while having a Line Of Sight on a Survivor.,Só pode ser abatido com Fogo de Dragão. Possui 3 Ações caso possua Linha de Visão a pelo menos um Sobrevivente no inicio de sua Ativação.,https://static.wikia.nocookie.net/zombicide/images/a/ad/Abominatroll_ZB.png
