# theme: fantasy,,
# game_version: Eternal Empire,,
# is_base_game: false,,
# abominations: god_eater_abomination,,
# necromancers: ,,
# ---,,
danger,spawn,qty
blue,walker_wd,2
blue,walker_wd,2
blue,walker_wd,2
blue,walker_wd,2
blue,walker_wd,2
blue,walker_wd,2
blue,Brutes,2
blue,brute_ee,2
blue,brute_ee,2
blue,brute_ee,2
blue,runner_wd,2
blue,runner_wd,2
blue,runner_wd,2
blue,runner_wd,2
blue,walker_wd,4
blue,walker_wd,4
blue,walker_wd,4
blue,walker_wd,4
blue,walker_wd,4
blue,walker_wd,4
blue,brute_ee,4
blue,brute_ee,4
blue,brute_ee,4
blue,brute_ee,4
blue,runner_wd,4
blue,runner_wd,4
blue,runner_wd,4
blue,runner_wd,4
blue,zombie_siege,
blue,zombie_siege,
blue,zombie_siege,
blue,zombie_siege,
blue,zombie_siege,
blue,zombie_siege,
blue,zombie_siege,
blue,zombie_siege,
blue,zombie_siege,
blue,nothing,
blue,nothing,
blue,nothing,
blue,nothing,
yellow,Walkers,4
yellow,walker_wd,4
yellow,walker_wd,4
yellow,walker_wd,4
yellow,walker_wd,4
yellow,walker_wd,4
yellow,brute_ee,2
yellow,brute_ee,2
yellow,brute_ee,2
yellow,brute_ee,2
yellow,runner_wd,2
yellow,runner_wd,2
yellow,runner_wd,2
yellow,runner_wd,2
yellow,walker_wd,6
yellow,walker_wd,6
yellow,walker_wd,6
yellow,walker_wd,6
yellow,walker_wd,6
yellow,walker_wd,6
yellow,brute_ee,4
yellow,brute_ee,4
yellow,brute_ee,4
yellow,brute_ee,4
yellow,runner_wd,4
yellow,runner_wd,4
yellow,runner_wd,4
yellow,runner_wd,4
yellow,zombie_siege,
yellow,zombie_siege,
yellow,zombie_siege,
yellow,zombie_siege,
yellow,zombie_siege,
yellow,zombie_siege,
yellow,zombie_siege,
yellow,zombie_siege,
yellow,zombie_siege,
yellow,extra_walker,
yellow,extra_walker,
yellow,extra_brute,
yellow,extra_runner,
orange,walker_wd,6
orange,walker_wd,6
orange,walker_wd,6
orange,walker_wd,6
orange,walker_wd,6
orange,walker_wd,6
orange,brute_ee,6
orange,brute_ee,6
orange,brute_ee,6
orange,brute_ee,6
orange,runner_wd,6
orange,runner_wd,6
orange,runner_wd,6
orange,runner_wd,6
orange,walker_wd,8
orange,walker_wd,8
orange,walker_wd,8
orange,walker_wd,8
orange,walker_wd,8
orange,walker_wd,8
orange,brute_ee,6
orange,brute_ee,6
orange,brute_ee,6
orange,brute_ee,6
orange,runner_wd,6
orange,runner_wd,6
orange,runner_wd,6
orange,runner_wd,6
orange,zombie_siege,
orange,zombie_siege,
orange,zombie_siege,
orange,zombie_siege,
orange,zombie_siege,
orange,zombie_siege,
orange,zombie_siege,
orange,zombie_siege,
orange,zombie_siege,
orange,extra_walker,
orange,extra_walker,
orange,extra_brute,
orange,extra_runner,
red,walker_wd,8
red,walker_wd,8
red,walker_wd,8
red,walker_wd,8
red,walker_wd,8
red,walker_wd,8
red,brute_ee,8
red,brute_ee,8
red,brute_ee,8
red,brute_ee,8
red,runner_wd,8
red,runner_wd,8
red,runner_wd,8
red,runner_wd,8
red,walker_wd,10
red,walker_wd,10
red,walker_wd,10
red,walker_wd,10
red,walker_wd,10
red,walker_wd,10
red,brute_ee,8
red,brute_ee,8
red,brute_ee,8
red,brute_ee,8
red,runner_wd,8
red,runner_wd,8
red,runner_wd,8
red,runner_wd,8
red,zombie_siege,
red,zombie_siege,
red,zombie_siege,
red,zombie_siege,
red,zombie_siege,
red,zombie_siege,
red,zombie_siege,
red,zombie_siege,
red,zombie_siege,
red,extra_walker,
red,extra_walker,
red,extra_brute,
red,extra_runner,
