# theme: fantasy,,
# game_version: Fatty Bursters Box,,
# is_base_game: false,,
# abominations:,,
# necromancers: ,,
# ---,,
danger,spawn,qty
blue,Nothing,
blue,Nothing,
blue,Nothing,
blue,Nothing,
blue,Nothing,
blue,Nothing,
yellow,fatty_bursters,1
yellow,fatty_bursters,1
yellow,fatty_bursters,1
yellow,fatty_bursters,1
yellow,fatty_bursters,1
yellow,fatty_bursters,1
orange,fatty_bursters,1
orange,fatty_bursters,1
orange,fatty_bursters,1
orange,fatty_bursters,1
orange,fatty_bursters,1
orange,fatty_bursters,1
red,fatty_bursters,1
red,fatty_bursters,1
red,fatty_bursters,1
red,fatty_bursters,1
red,fatty_bursters,1
red,fatty_bursters,1
