# theme: fantasy,,
# game_version: Green Horde,,
# is_base_game: true,,
# abominations: orc_abomination,,
# necromancers: orc_necromancer,,
# ---,,
danger,spawn,qty
blue,nothing,
blue,nothing,
blue,nothing,
blue,orc_walker,2
blue,orc_walker,2
blue,orc_walker,2
blue,orc_walker,3
blue,orc_walker,4
blue,orc_brute,2
blue,orc_brute,2
blue,orc_runner,3
blue,orc_runner,3
blue,orc_walker,3
blue,orc_walker,3
blue,orc_walker,2
blue,orc_walker,2
blue,orc_runner,3
blue,orc_walker,2
blue,orc_brute,2
blue,orc_walker,2
blue,orc_brute,2
blue,orc_runner,3
blue,orc_brute,2
blue,orc_walker,3
blue,orc_walker,3
blue,orc_walker,2
blue,orc_walker,2
blue,orc_runner,3
blue,orc_walker,2
blue,orc_brute,2
blue,orc_walker,2
blue,orc_brute,2
blue,orc_runner,3
blue,orc_brute,2
blue,nothing,
blue,nothing,
blue,nothing,
blue,nothing,
blue,enter_the_horde,
blue,enter_the_horde,
blue,enter_the_horde,
blue,enter_the_horde,
blue,enter_the_horde,
blue,enter_the_horde,
blue,enter_the_horde,
blue,enter_the_horde,
yellow,orc_runner,5
yellow,orc_brute,3
yellow,orc_walker,5
yellow,orc_runner,4
yellow,orc_brute,1
yellow,orc_walker,3
yellow,orc_runner,4
yellow,orc_brute,2
yellow,orc_walker,3
yellow,orc_walker,3
yellow,orc_walker,4
yellow,orc_walker,4
yellow,orc_runner,4
yellow,orc_brute,2
yellow,orc_walker,4
yellow,orc_runner,5
yellow,orc_brute,2
yellow,orc_walker,5
yellow,orc_runner,4
yellow,orc_brute,3
yellow,orc_walker,3
yellow,orc_walker,5
yellow,orc_walker,4
yellow,orc_runner,4
yellow,orc_brute,2
yellow,orc_walker,4
yellow,orc_runner,5
yellow,orc_brute,2
yellow,orc_walker,5
yellow,orc_runner,4
yellow,orc_brute,3
yellow,orc_walker,3
yellow,orc_walker,5
yellow,orc_walker,4
yellow,orc_walker_extra,
yellow,orc_walker_extra,
yellow,orc_brute_extra,
yellow,orc_runner_extra,
yellow,enter_the_horde,
yellow,enter_the_horde,
yellow,enter_the_horde,
yellow,enter_the_horde,
yellow,enter_the_horde,
yellow,enter_the_horde,
yellow,enter_the_horde,
yellow,enter_the_horde,
orange,orc_walker,6
orange,orc_walker,6
orange,orc_runner,7
orange,orc_brute,4
orange,orc_walker,5
orange,orc_runner,5
orange,orc_brute,2
orange,orc_walker,5
orange,orc_runner,6
orange,orc_brute,3
orange,orc_walker,4
orange,orc_walker,4
orange,orc_walker,6
orange,orc_brute,2
orange,orc_runner,6
orange,orc_brute,4
orange,orc_walker,5
orange,orc_runner,6
orange,orc_walker,7
orange,orc_runner,6
orange,orc_brute,3
orange,orc_walker,5
orange,orc_walker,6
orange,orc_walker,6
orange,orc_brute,2
orange,orc_runner,6
orange,orc_brute,4
orange,orc_walker,5
orange,orc_runner,6
orange,orc_walker,7
orange,orc_runner,6
orange,orc_brute,3
orange,orc_walker,5
orange,orc_walker,6
orange,orc_walker_extra,
orange,orc_walker_extra,
orange,orc_brute_extra,
orange,orc_runner_extra,
orange,enter_the_horde,
orange,enter_the_horde,
orange,enter_the_horde,
orange,enter_the_horde,
orange,enter_the_horde,
orange,enter_the_horde,
orange,enter_the_horde,
orange,enter_the_horde,
red,orc_brute,3
red,orc_walker,6
red,orc_runner,7
red,orc_brute,4
red,orc_walker,6
red,orc_runner,8
red,orc_brute,4
red,orc_walker,7
red,orc_runner,8
red,orc_walker,6
red,orc_walker,7
red,orc_walker,6
red,orc_brute,3
red,orc_runner,8
red,orc_walker,7
red,orc_walker,7
red,orc_walker,6
red,orc_brute,4
red,orc_runner,7
red,orc_walker,9
red,orc_walker,8
red,orc_brute,4
red,orc_runner,8
red,orc_brute,3
red,orc_runner,8
red,orc_walker,7
red,orc_walker,7
red,orc_walker,6
red,orc_brute,4
red,orc_runner,7
red,orc_walker,9
red,orc_walker,8
red,orc_brute,4
red,orc_runner,8
red,orc_walker_extra,
red,orc_walker_extra,
red,orc_brute_extra,
red,orc_runner_extra,
red,enter_the_horde,
red,enter_the_horde,
red,enter_the_horde,
red,enter_the_horde,
red,enter_the_horde,
red,enter_the_horde,
red,enter_the_horde,
red,enter_the_horde,
