# theme: fantasy,,
# game_version: Horde Box,,
# is_base_game: false,,
# abominations: abominabunny; chromatiz; gorgomination; horde_brother; siege_breaker; swamp_lurker; the_magenta_covfefe_of_aargh; vault_warden; werezombie; zombie_giant; feral_dragon,,
# necromancers: count_temeraire; queen_severa,,
# ---,,
danger,spawn,qty
blue,Nothing,
blue,Nothing,
blue,Nothing,
blue,Nothing,
blue,Nothing,
blue,Nothing,
yellow,fatty_bursters,1
yellow,fatty_bursters,1
yellow,fatty_bursters,1
yellow,fatty_bursters,1
yellow,fatty_bursters,1
yellow,fatty_bursters,1
orange,fatty_bursters,1
orange,fatty_bursters,1
orange,fatty_bursters,1
orange,fatty_bursters,1
orange,fatty_bursters,1
orange,fatty_bursters,1
red,fatty_bursters,1
red,fatty_bursters,1
red,fatty_bursters,1
red,fatty_bursters,1
red,fatty_bursters,1
red,fatty_bursters,1
