# theme: fantasy,,
# game_version: No Rest for the Wicked,,
# is_base_game: false,,
# abominations: necromantic_dragon,,
# necromancers: ,,
# ---,,
danger,spawn,qty
blue,spectral_walkers,1
blue,spectral_walkers,2
blue,spectral_walkers,2
blue,spectral_walkers,1
blue,spectral_walkers,1
blue,spectral_walkers,1
blue,spectral_walkers,1
blue,spectral_walkers,1
blue,spectral_walkers,1
blue,spectral_walkers,1
blue,spectral_walkers,1
blue,spectral_walkers,1
blue,swarm_of_ratz,2
blue,swarm_of_ratz,2
blue,swarm_of_ratz,2
blue,swarm_of_ratz,2
blue,swarm_of_ratz,2
blue,swarm_of_ratz,2
blue,swarm_of_ratz,2
blue,swarm_of_ratz,2
blue,swarm_of_ratz,2
blue,swarm_of_ratz,2
blue,swarm_of_ratz,2
blue,swarm_of_ratz,2
yellow,spectral_walkers,1
yellow,spectral_walkers,1
yellow,spectral_walkers,1
yellow,spectral_walkers,3
yellow,spectral_walkers,2
yellow,spectral_walkers,1
yellow,spectral_walkers,4
yellow,spectral_walkers,1
yellow,spectral_walkers,2
yellow,spectral_walkers,2
yellow,spectral_walkers,4
yellow,spectral_walkers,3
yellow,swarm_of_ratz,3
yellow,swarm_of_ratz,3
yellow,swarm_of_ratz,3
yellow,swarm_of_ratz,3
yellow,swarm_of_ratz,3
yellow,swarm_of_ratz,3
yellow,swarm_of_ratz,3
yellow,swarm_of_ratz,3
yellow,swarm_of_ratz,3
yellow,swarm_of_ratz,3
yellow,swarm_of_ratz,3
yellow,swarm_of_ratz,3
orange,spectral_walkers,5
orange,spectral_walkers,1
orange,spectral_walkers,1
orange,spectral_walkers,2
orange,spectral_walkers,3
orange,spectral_walkers,4
orange,spectral_walkers,2
orange,spectral_walkers,6
orange,spectral_walkers,2
orange,spectral_walkers,2
orange,spectral_walkers,4
orange,spectral_walkers,5
orange,swarm_of_ratz,4
orange,swarm_of_ratz,4
orange,swarm_of_ratz,4
orange,swarm_of_ratz,4
orange,swarm_of_ratz,4
orange,swarm_of_ratz,4
orange,swarm_of_ratz,4
orange,swarm_of_ratz,4
orange,swarm_of_ratz,4
orange,swarm_of_ratz,4
orange,swarm_of_ratz,4
orange,swarm_of_ratz,4
red,spectral_walkers,2
red,spectral_walkers,3
red,spectral_walkers,6
red,spectral_walkers,1
red,spectral_walkers,6
red,spectral_walkers,5
red,spectral_walkers,3
red,spectral_walkers,2
red,spectral_walkers,8
red,spectral_walkers,7
red,spectral_walkers,3
red,spectral_walkers,3
red,swarm_of_ratz,5
red,swarm_of_ratz,5
red,swarm_of_ratz,5
red,swarm_of_ratz,5
red,swarm_of_ratz,5
red,swarm_of_ratz,5
red,swarm_of_ratz,5
red,swarm_of_ratz,5
red,swarm_of_ratz,5
red,swarm_of_ratz,5
red,swarm_of_ratz,5
red,swarm_of_ratz,5
