# theme: fantasy,,
# game_version: TMNT Timecrash,,
# is_base_game: false,,
# abominations: ,,
# necromancers: shredder,,
# ---,,
danger,spawn,qty
blue,foot_ninjas,1
blue,foot_ninjas,1
blue,foot_ninjas,1
blue,foot_ninjas,1
blue,foot_ninjas,1
blue,foot_ninjas,1
yellow,foot_ninjas,2
yellow,foot_ninjas,2
yellow,foot_ninjas,2
yellow,foot_ninjas,2
yellow,foot_ninjas,2
yellow,foot_ninjas,2
orange,foot_ninjas,3
orange,foot_ninjas,3
orange,foot_ninjas,3
orange,foot_ninjas,3
orange,foot_ninjas,3
orange,foot_ninjas,3
red,foot_ninjas,4
red,foot_ninjas,4
red,foot_ninjas,4
red,foot_ninjas,4
red,foot_ninjas,4
red,foot_ninjas,4
